iter	Passed	Remaining
193	2430	10098
194	2445	10096
195	2460	10095
196	2477	10098
197	2493	10100
198	2511	10108
199	2526	10105
200	2541	10101
201	2556	10099
202	2572	10098
203	2589	10105
204	2607	10111
205	2625	10117
206	2641	10120
207	2656	10116
208	2673	10118
209	2690	10121
210	2707	10122
211	2723	10124
212	2740	10126
213	2757	10129
214	2774	10129
215	2795	10148
216	2818	10171
217	2835	10172
218	2851	10170
219	2867	10165
220	2884	10168
221	2901	10167
222	2917	10166
223	2935	10168
224	2951	10165
225	2966	10160
226	2982	10156
227	3000	10158
228	3017	10158
229	3034	10157
230	3050	10156
231	3066	10149
232	3082	10148
233	3098	10143
234	3116	10143
235	3132	10140
236	3149	10140
237	3166	10138
238	3184	10139
239	3202	10139
240	3219	10138
241	3236	10136
242	3252	10132
243	3269	10131
244	3283	10119
245	3300	10115
246	3316	10111
247	3333	10108
248	3350	10103
249	3367	10102
250	3384	10099
251	3401	10097
252	3419	10095
253	3435	10089
254	3451	10082
255	3465	10070
256	3482	10068
257	3499	10064
258	3515	10057
259	3531	10051
260	3546	10042
261	3562	10033
262	3578	10026
263	3593	10017
264	3609	10012
265	3627	10008
266	3643	10003
267	3658	9993
268	3675	9987
269	3691	9980
270	3708	9975
271	3723	9966
272	3740	9961
273	3755	9951
274	3772	9945
275	3787	9935
276	3804	9929
277	3819	9920
278	3837	9916
279	3853	9908
280	3868	9899
281	3884	9890
282	3902	9886
283	3918	9880
284	3934	9870
285	3950	9862
286	3966	9854
287	3982	9846
288	3999	9840
289	4017	9836
290	4033	9828
291	4051	9822
292	4065	9810
293	4082	9804
294	4099	9797
295	4115	9787
296	4132	9781
297	4148	9773
298	4164	9763
299	4180	9755
300	4195	9743
301	4211	9733
302	4229	9728
303	4244	9716
304	4260	9709
305	4277	9701
306	4293	9690
307	4307	9676
308	4323	9669
309	4341	9662
310	4360	9659
311	4375	9649
312	4392	9639
313	4407	9628
314	4422	9616
315	4439	9609
316	4456	9601
317	4473	9594
318	4490	9586
319	4507	9577
320	4522	9566
321	4538	9556
322	4554	9545
323	4570	9536
324	4587	9527
325	4604	9519
326	4620	9508
327	4635	9496
328	4650	9484
329	4667	9476
330	4686	9471
331	4700	9457
332	4716	9447
333	4731	9435
334	4746	9422
335	4762	9412
336	4778	9401
337	4794	9390
338	4812	9382
339	4827	9371
340	4843	9360
341	4860	9350
342	4877	9342
343	4894	9333
344	4909	9321
345	4925	9310
346	4942	9301
347	4958	9289
348	4975	9280
349	4991	9269
350	5009	9262
351	5029	9258
352	5049	9254
353	5064	9242
354	5080	9229
355	5096	9219
356	5113	9209
357	5129	9199
358	5146	9189
359	5166	9184
360	5185	9178
361	5201	9166
362	5218	9157
363	5235	9147
364	5250	9134
365	5271	9131
366	5288	9121
367	5306	9112
368	5327	9109
369	5349	9108
370	5370	9106
371	5388	9096
372	5403	9082
373	5421	9075
374	5440	9067
375	5456	9054
376	5473	9044
377	5491	9035
378	5507	9024
379	5523	9011
380	5540	9001
381	5558	8992
382	5574	8979
383	5592	8970
384	5608	8959
385	5625	8947
386	5643	8938
387	5661	8930
388	5682	8926
389	5701	8918
390	5717	8905
391	5740	8902
392	5757	8893
393	5775	8883
394	5792	8871
395	5809	8861
396	5830	8856
397	5850	8849
398	5866	8836
399	5885	8828
400	5905	8820
401	5922	8810
402	5942	8803
403	5960	8792
404	5980	8786
405	5998	8776
406	6017	8767
407	6035	8756
408	6056	8752
409	6075	8742
410	6093	8732
411	6111	8722
412	6130	8713
413	6151	8707
414	6167	8693
415	6183	8680
416	6198	8666
417	6215	8654
418	6232	8641
419	6248	8628
420	6264	8615
421	6279	8600
422	6295	8586
423	6312	8575
424	6327	8561
425	6345	8550
426	6362	8538
427	6378	8524
428	6393	8510
429	6410	8497
430	6428	8486
431	6443	8472
432	6463	8463
433	6479	8450
434	6497	8439
435	6513	8425
436	6528	8410
437	6545	8398
438	6563	8387
439	6581	8376
440	6598	8364
441	6615	8351
442	6634	8341
443	6651	8329
444	6667	8315
445	6681	8300
446	6698	8287
447	6715	8274
448	6731	8260
449	6748	8247
450	6763	8232
451	6778	8217
452	6794	8204
453	6810	8190
454	6826	8176
455	6843	8164
456	6863	8154
457	6879	8140
458	6896	8128
459	6912	8114
460	6929	8101
461	6945	8088
462	6962	8074
463	6980	8063
464	6994	8047
465	7010	8033
466	7028	8022
467	7046	8009
468	7068	8003
469	7087	7991
470	7106	7981
471	7123	7968
472	7142	7957
473	7159	7945
474	7178	7933
475	7195	7921
476	7214	7910
477	7231	7897
478	7250	7886
479	7268	7873
480	7285	7860
481	7302	7848
482	7321	7837
483	7336	7821
484	7353	7807
485	7369	7793
486	7389	7784
487	7407	7772
488	7424	7758
489	7443	7747
490	7460	7734
491	7479	7722
492	7499	7712
493	7521	7703
494	7542	7694
495	7559	7681
496	7577	7668
497	7593	7654
498	7609	7639
499	7626	7626
500	7644	7614
501	7665	7604
502	7685	7593
503	7702	7580
504	7720	7567
505	7737	7553
506	7755	7541
507	7774	7530
508	7794	7518
509	7812	7505
510	7831	7494
511	7851	7483
512	7869	7471
513	7888	7458
514	7906	7445
515	7924	7432
516	7940	7418
517	7956	7403
518	7975	7391
519	7992	7377
520	8011	7366
521	8032	7355
522	8050	7342
523	8069	7330
524	8088	7317
525	8106	7305
526	8124	7291
527	8142	7278
528	8167	7271
529	8186	7259
530	8204	7246
531	8221	7232
532	8237	7217
533	8255	7204
534	8271	7189
535	8288	7174
536	8305	7161
537	8323	7147
538	8343	7135
539	8359	7121
540	8378	7108
541	8397	7095
542	8415	7082
543	8432	7068
544	8449	7054
545	8468	7041
546	8486	7028
547	8502	7013
548	8519	6998
549	8538	6985
550	8555	6971
551	8572	6957
552	8592	6945
553	8613	6934
554	8630	6919
555	8649	6907
556	8667	6893
557	8685	6879
558	8702	6865
559	8718	6850
560	8736	6836
561	8755	6823
562	8775	6811
563	8795	6799
564	8830	6798
565	8849	6785
566	8864	6769
567	8882	6755
568	8900	6741
569	8919	6728
570	8937	6715
571	8954	6700
572	8974	6687
573	8993	6674
574	9012	6661
575	9033	6649
576	9051	6635
577	9068	6621
578	9084	6605
579	9099	6589
580	9116	6574
581	9135	6561
582	9150	6545
583	9167	6530
584	9184	6515
585	9202	6501
586	9219	6486
587	9237	6472
588	9253	6457
589	9271	6442
590	9288	6428
591	9304	6412
592	9322	6398
593	9382	6412
594	9413	6407
595	9430	6392
596	9447	6377
597	9464	6362
598	9482	6348
599	9499	6332
600	9518	6319
601	9536	6304
602	9553	6289
603	9572	6275
604	9590	6261
605	9608	6246
606	9623	6230
607	9641	6216
608	9658	6201
609	9674	6185
610	9692	6170
611	9708	6154
612	9725	6140
613	9740	6123
614	9758	6109
615	9774	6093
616	9788	6076
617	9807	6062
618	9828	6049
619	9844	6033
620	9863	6019
621	9880	6004
622	9896	5988
623	9921	5978
624	9945	5967
625	9964	5953
626	9984	5939
627	10000	5924
628	10019	5909
629	10039	5896
630	10057	5881
631	10074	5866
632	10092	5851
633	10108	5835
634	10126	5820
635	10145	5806
636	10163	5791
637	10183	5778
638	10203	5764
639	10221	5749
640	10241	5735
641	10259	5720
642	10276	5705
643	10292	5689
644	10309	5674
645	10329	5660
646	10346	5645
647	10364	5630
648	10382	5615
649	10401	5600
650	10457	5606
651	10481	5594
652	10504	5582
653	10526	5568
654	10543	5553
655	10561	5538
656	10580	5523
657	10597	5508
658	10616	5493
659	10633	5477
660	10652	5463
661	10667	5446
662	10687	5432
663	10705	5417
664	10722	5401
665	10739	5385
666	10757	5370
667	10775	5355
668	10791	5339
669	10809	5324
670	10827	5308
671	10844	5293
672	10863	5278
673	10880	5262
674	10901	5248
675	10919	5233
676	10937	5218
677	10957	5203
678	10975	5188
679	10994	5173
680	11017	5161
681	11040	5147
682	11056	5131
683	11075	5116
684	11091	5100
685	11107	5084
686	11124	5068
687	11140	5052
688	11157	5036
689	11174	5020
690	11192	5004
691	11209	4989
692	11227	4973
693	11244	4958
694	11264	4943
695	11280	4927
696	11297	4911
697	11315	4895
698	11331	4879
699	11349	4864
700	11368	4849
701	11387	4834
702	11406	4818
703	11423	4803
704	11440	4787
705	11460	4772
706	11478	4756
707	11497	4741
708	11515	4726
709	11533	4710
710	11549	4694
711	11566	4678
712	11584	4662
713	11603	4647
714	11624	4633
715	11647	4619
716	11671	4606
717	11695	4593
718	11718	4579
719	11744	4567
720	11765	4552
721	11788	4539
722	11810	4524
723	11829	4509
724	11851	4495
725	11872	4480
726	11889	4464
727	11909	4449
728	11926	4433
729	11944	4417
730	11960	4401
731	11978	4385
732	11999	4370
733	12020	4356
734	12041	4341
735	12064	4327
736	12087	4313
737	12110	4299
738	12134	4285
739	12158	4271
740	12180	4257
741	12203	4243
742	12225	4228
743	12244	4213
744	12262	4197
745	12281	4181
746	12300	4166
747	12320	4150
748	12338	4134
749	12358	4119
750	12383	4105
751	12404	4090
752	12426	4076
753	12450	4062
754	12477	4048
755	12501	4034
756	12524	4020
757	12547	4005
758	12569	3991
759	12591	3976
760	12608	3959
761	12625	3943
762	12643	3927
763	12658	3910
764	12674	3893
765	12691	3877
766	12708	3860
767	12725	3844
768	12742	3827
769	12761	3811
770	12778	3795
771	12797	3779
772	12814	3763
773	12831	3746
774	12846	3729
775	12863	3713
776	12880	3696
777	12899	3680
778	12917	3664
779	12934	3648
780	12951	3631
781	12968	3615
782	12985	3598
783	13003	3582
784	13021	3566
785	13038	3549
786	13056	3533
787	13072	3517
788	13088	3500
789	13105	3483
790	13122	3467
791	13139	3450
792	13155	3434
793	13173	3417
794	13189	3401
795	13205	3384
796	13222	3367
797	13240	3351
798	13257	3335
799	13276	3319
800	13293	3302
801	13310	3286
802	13329	3270
803	13348	3254
804	13366	3237
805	13389	3222
806	13412	3207
807	13434	3192
808	13458	3177
809	13483	3162
810	13503	3147
811	13526	3131
812	13548	3116
813	13568	3100
814	13589	3084
815	13615	3070
816	13638	3054
817	13659	3039
818	13679	3023
819	13702	3007
820	13726	2992
821	13749	2977
822	13772	2961
823	13795	2946
824	13818	2931
825	13842	2915
826	13868	2901
827	13888	2885
828	13909	2869
829	13930	2853
830	13952	2837
831	13970	2820
832	13993	2805
833	14010	2788
834	14032	2772
835	14048	2755
836	14067	2739
837	14087	2723
838	14105	2706
839	14121	2689
840	14139	2673
841	14159	2656
842	14180	2641
843	14200	2624
844	14219	2608
845	14236	2591
846	14255	2575
847	14271	2558
848	14290	2541
849	14308	2525
850	14326	2508
851	14346	2492
852	14363	2475
853	14381	2458
854	14401	2442
855	14418	2425
856	14436	2408
857	14453	2392
858	14472	2375
859	14498	2360
860	14518	2343
861	14539	2327
862	14560	2311
863	14579	2294
864	14601	2278
865	14625	2263
866	14648	2247
867	14670	2231
868	14701	2216
869	14731	2201
870	14759	2185
871	14781	2169
872	14803	2153
873	14839	2139
874	14865	2123
875	14900	2109
876	14931	2094
877	14952	2077
878	14975	2061
879	14996	2044
880	15022	2029
881	15056	2014
882	15075	1997
883	15093	1980
884	15109	1963
885	15127	1946
886	15143	1929
887	15160	1912
888	15176	1894
889	15195	1878
890	15213	1861
891	15228	1843
892	15244	1826
893	15262	1809
894	15279	1792
895	15296	1775
896	15321	1759
897	15341	1742
898	15357	1725
899	15375	1708
900	15395	1691
901	15415	1674
902	15433	1657
903	15451	1640
904	15470	1624
905	15487	1606
906	15505	1589
907	15522	1572
908	15541	1555
909	15560	1538
910	15580	1522
911	15598	1505
912	15615	1488
913	15633	1470
914	15649	1453
915	15667	1436
916	15683	1419
917	15703	1402
918	15721	1385
919	15740	1368
920	15759	1351
921	15777	1334
922	15794	1317
923	15812	1300
924	15829	1283
925	15844	1266
926	15859	1248
927	15875	1231
928	15893	1214
929	15909	1197
930	15925	1180
931	15941	1163
932	15957	1145
933	15973	1128
934	15991	1111
935	16018	1095
936	16044	1078
937	16071	1062
938	16093	1045
939	16111	1028
940	16133	1011
941	16159	994
942	16180	978
943	16200	961
944	16224	944
945	16245	927
946	16264	910
947	16281	893
948	16300	875
949	16319	858
950	16336	841
951	16356	824
952	16374	807
953	16393	790
954	16413	773
955	16432	756
956	16451	739
957	16469	722
958	16486	704
959	16505	687
960	16525	670
961	16544	653
962	16563	636
963	16580	619
964	16597	601
965	16614	584
966	16631	567
967	16649	550
968	16666	533
969	16683	515
970	16701	498
971	16717	481
972	16735	464
973	16753	447
974	16770	430
975	16788	412
976	16804	395
977	16823	378
978	16844	361
979	16862	344
980	16879	326
981	16897	309
982	16916	292
983	16932	275
984	16951	258
985	16971	240
986	16988	223
987	17007	206
988	17029	189
989	17049	172
990	17072	155
991	17090	137
992	17108	120
993	17127	103
994	17147	86
995	17167	68
996	17186	51
997	17203	34
998	17223	17
999	17241	0
